Company,Symbol,Market,Event_type,Date,Quarter,EPS,Forecast,# Estimates,% Surprise,Footer Date
Brunswick Corporation,BC,NYSE,Exceeded,07-27-2017,Jun 2017,1.35 ,1.33 ,11 ,1.5 ,07/27/2017 08:27
Reliance Steel & Aluminum Co.,RS,NYSE,Exceeded,07-27-2017,Jun 2017,1.4 ,1.38 ,6 ,1.45 ,07/27/2017 08:27
Bristol-Myers Squibb Company,BMY,NYSE,Exceeded,07-27-2017,Jun 2017,0.74 ,0.73 ,9 ,1.37 ,07/27/2017 08:27
Stryker Corporation,SYK,NYSE,Exceeded,07-27-2017,Jun 2017,1.53 ,1.51 ,15 ,1.32 ,07/27/2017 08:27
"Dupont Fabros Technology, Inc.",DFT,NYSE,Exceeded,07-27-2017,Jun 2017,0.78 ,0.77 ,9 ,1.3 ,07/27/2017 08:27
Arthur J. Gallagher & Co.,AJG,NYSE,Exceeded,07-27-2017,Jun 2017,1.03 ,1.02 ,9 ,0.98 ,07/27/2017 08:27
Adient plc,ADNT,NYSE,Exceeded,07-27-2017,Jun 2017,2.52 ,2.5 ,8 ,0.8 ,07/27/2017 08:27
"Mettler-Toledo International, Inc.",MTD,NYSE,Exceeded,07-27-2017,Jun 2017,3.92 ,3.89 ,7 ,0.77 ,07/27/2017 08:27
ICON plc,ICLR,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,1.31 ,1.3 ,9 ,0.77 ,07/27/2017 08:27
Ultragenyx Pharmaceutical Inc.,RARE,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-1.72 ,-1.73 ,11 ,0.58 ,07/27/2017 08:27
Seacoast Banking Corporation of Florida,SBCF,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.29 ,0.29 ,4 ,0 ,07/27/2017 08:27
Starbucks Corporation,SBUX,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.55 ,0.55 ,14 ,0 ,07/27/2017 08:27
Sirius XM Holdings Inc.,SIRI,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.04 ,0.04 ,7 ,0 ,07/27/2017 08:27
National Instruments Corporation,NATI,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.19 ,0.19 ,3 ,0 ,07/27/2017 08:27
"Marsh & McLennan Companies, Inc.",MMC,NYSE,Met,07-27-2017,Jun 2017,1 ,1 ,9 ,0 ,07/27/2017 08:27
"Omnicell, Inc.",OMCL,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.02 ,0.02 ,1 ,0 ,07/27/2017 08:27
OceanFirst Financial Corp.,OCFC,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.4 ,0.4 ,2 ,0 ,07/27/2017 08:27
"National Oilwell Varco, Inc.",NOV,NYSE,Met,07-27-2017,Jun 2017,-0.14 ,-0.14 ,12 ,0 ,07/27/2017 08:27
"NetScout Systems, Inc.",NTCT,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.01 ,0.01 ,4 ,0 ,07/27/2017 08:27
Johnson Controls International plc,JCI,NYSE,Met,07-27-2017,Jun 2017,0.71 ,0.71 ,7 ,0 ,07/27/2017 08:27
Quaker Chemical Corporation,KWR,NYSE,Met,07-27-2017,Jun 2017,1.24 ,1.24 ,3 ,0 ,07/27/2017 08:27
"Mitek Systems, Inc.",MITK,NASDAQ -CM,Met,07-27-2017,Jun 2017,0.04 ,0.04 ,2 ,0 ,07/27/2017 08:27
Masco Corporation,MAS,NYSE,Met,07-27-2017,Jun 2017,0.6 ,0.6 ,10 ,0 ,07/27/2017 08:27
"Independence Contract Drilling, Inc.",ICD,NYSE,Met,07-27-2017,Jun 2017,-0.13 ,-0.13 ,4 ,0 ,07/27/2017 08:27
"Harvard Bioscience, Inc.",HBIO,NASDAQ -GM,Met,07-27-2017,Jun 2017,0.01 ,0.01 ,1 ,0 ,07/27/2017 08:27
Horizon Bancorp (IN),HBNC,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.42 ,0.42 ,3 ,0 ,07/27/2017 08:27
"First Hawaiian, Inc.",FHB,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.41 ,0.41 ,4 ,0 ,07/27/2017 08:27
"Floor & Decor Holdings, Inc.",FND,NYSE,Met,07-27-2017,Jun 2017,0.2 ,0.2 ,3 ,0 ,07/27/2017 08:27
"Chart Industries, Inc.",GTLS,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.21 ,0.21 ,6 ,0 ,07/27/2017 08:27
Ambev S.A.,ABEV,NYSE,Met,07-27-2017,Jun 2017,0.04 ,0.04 ,1 ,0 ,07/27/2017 08:27
"Canon, Inc.",CAJ,NYSE,Met,07-27-2017,Jun 2017,0.57 ,0.57 ,2 ,0 ,07/27/2017 08:27
Cloud Peak Energy Inc,CLD,NYSE,Met,07-27-2017,Jun 2017,-0.04 ,-0.04 ,5 ,0 ,07/27/2017 08:27
"Capitol Federal Financial, Inc.",CFFN,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.16 ,0.16 ,1 ,0 ,07/27/2017 08:27
"Cullen/Frost Bankers, Inc.",CFR,NYSE,Met,07-27-2017,Jun 2017,1.29 ,1.29 ,9 ,0 ,07/27/2017 08:27
"Dime Community Bancshares, Inc.",DCOM,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.32 ,0.32 ,1 ,0 ,07/27/2017 08:27
CTS Corporation,CTS,NYSE,Met,07-27-2017,Jun 2017,0.28 ,0.28 ,1 ,0 ,07/27/2017 08:27
"Exactech, Inc.",EXAC,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.33 ,0.33 ,1 ,0 ,07/27/2017 08:27
Eagle Materials Inc,EXP,NYSE,Met,07-27-2017,Jun 2017,1.17 ,1.17 ,3 ,0 ,07/27/2017 08:27
Edison International,EIX,NYSE,Met,07-27-2017,Jun 2017,0.85 ,0.85 ,5 ,0 ,07/27/2017 08:27
FirstEnergy Corporation,FE,NYSE,Met,07-27-2017,Jun 2017,0.61 ,0.61 ,6 ,0 ,07/27/2017 08:27
"US Ecology, Inc.",ECOL,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.38 ,0.38 ,4 ,0 ,07/27/2017 08:27
"Enova International, Inc.",ENVA,NYSE,Met,07-27-2017,Jun 2017,0.35 ,0.35 ,2 ,0 ,07/27/2017 08:27
"Del Taco Restaurants, Inc.",TACO,NASDAQ -CM,Met,07-27-2017,Jun 2017,0.13 ,0.13 ,4 ,0 ,07/27/2017 08:27
Meridian Bioscience Inc.,VIVO,NASDAQ -GS,Met,07-27-2017,Jun 2017,0.16 ,0.16 ,4 ,0 ,07/27/2017 08:27
Verizon Communications Inc.,VZ,Dual Listed,Met,07-27-2017,Jun 2017,0.96 ,0.96 ,19 ,0 ,07/27/2017 08:27
WEX Inc.,WEX,NYSE,Met,07-27-2017,Jun 2017,1.15 ,1.15 ,6 ,0 ,07/27/2017 08:27
"Zimmer Biomet Holdings, Inc.",ZBH,NYSE,Failed,07-27-2017,Jun 2017,2.08 ,2.1 ,15 ,-0.95 ,07/27/2017 08:27
Marathon Petroleum Corporation,MPC,NYSE,Failed,07-27-2017,Jun 2017,1.03 ,1.04 ,10 ,-0.96 ,07/27/2017 08:27
Total S.A.,TOT,NYSE,Failed,07-27-2017,Jun 2017,0.97 ,0.98 ,3 ,-1.02 ,07/27/2017 08:27
Altria Group,MO,NYSE,Failed,07-27-2017,Jun 2017,0.85 ,0.86 ,7 ,-1.16 ,07/27/2017 08:27
"Leggett & Platt, Incorporated",LEG,NYSE,Failed,07-27-2017,Jun 2017,0.64 ,0.65 ,4 ,-1.54 ,07/27/2017 08:27
"INC Research Holdings, Inc.",INCR,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.57 ,0.58 ,7 ,-1.72 ,07/27/2017 08:27
Cerner Corporation,CERN,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.56 ,0.57 ,11 ,-1.75 ,07/27/2017 08:27
"Plantronics, Inc.",PLT,NYSE,Failed,07-27-2017,Jun 2017,0.52 ,0.53 ,3 ,-1.89 ,07/27/2017 08:27
"Comfort Systems USA, Inc.",FIX,NYSE,Failed,07-27-2017,Jun 2017,0.48 ,0.49 ,2 ,-2.04 ,07/27/2017 08:27
"Columbia Banking System, Inc.",COLB,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.47 ,0.48 ,3 ,-2.08 ,07/27/2017 08:27
"Dr Pepper Snapple Group, Inc",DPS,NYSE,Failed,07-27-2017,Jun 2017,1.25 ,1.28 ,8 ,-2.34 ,07/27/2017 08:27
Towne Bank,TOWN,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.4 ,0.41 ,2 ,-2.44 ,07/27/2017 08:27
"DST Systems, Inc.",DST,NYSE,Failed,07-27-2017,Jun 2017,0.76 ,0.78 ,4 ,-2.56 ,07/27/2017 08:27
"Automatic Data Processing, Inc.",ADP,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.65 ,0.67 ,10 ,-2.99 ,07/27/2017 08:27
"EQT Midstream Partners, LP",EQM,NYSE,Failed,07-27-2017,Jun 2017,1.27 ,1.31 ,7 ,-3.05 ,07/27/2017 08:27
"Columbia Property Trust, Inc.",CXP,NYSE,Failed,07-27-2017,Jun 2017,0.26 ,0.27 ,2 ,-3.7 ,07/27/2017 08:27
"CalAtlantic Group, Inc.",CAA,NYSE,Failed,07-27-2017,Jun 2017,0.75 ,0.78 ,8 ,-3.85 ,07/27/2017 08:27
"BofI Holding, Inc.",BOFI,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.49 ,0.51 ,4 ,-3.92 ,07/27/2017 08:27
"BJ's Restaurants, Inc.",BJRI,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.49 ,0.51 ,8 ,-3.92 ,07/27/2017 08:27
Territorial Bancorp Inc.,TBNK,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.45 ,0.47 ,1 ,-4.26 ,07/27/2017 08:27
NovoCure Limited,NVCR,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.24 ,-0.23 ,4 ,-4.35 ,07/27/2017 08:27
Flex Ltd.,FLEX,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.21 ,0.22 ,4 ,-4.55 ,07/27/2017 08:27
"Great Western Bancorp, Inc.",GWB,NYSE,Failed,07-27-2017,Jun 2017,0.59 ,0.62 ,6 ,-4.84 ,07/27/2017 08:27
Heritage Commerce Corp,HTBK,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.19 ,0.2 ,2 ,-5 ,07/27/2017 08:27
Old Republic International Corporation,ORI,NYSE,Failed,07-27-2017,Jun 2017,0.34 ,0.36 ,1 ,-5.56 ,07/27/2017 08:27
Potash Corporation of Saskatchewan Inc.,POT,NYSE,Failed,07-27-2017,Jun 2017,0.16 ,0.17 ,5 ,-5.88 ,07/27/2017 08:27
"Group 1 Automotive, Inc.",GPI,NYSE,Failed,07-27-2017,Jun 2017,1.87 ,1.99 ,6 ,-6.03 ,07/27/2017 08:27
"Boise Cascade, L.L.C.",BCC,NYSE,Failed,07-27-2017,Jun 2017,0.57 ,0.61 ,2 ,-6.56 ,07/27/2017 08:27
Cabot Oil & Gas Corporation,COG,NYSE,Failed,07-27-2017,Jun 2017,0.14 ,0.15 ,13 ,-6.67 ,07/27/2017 08:27
"Investors Bancorp, Inc.",ISBC,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.14 ,0.15 ,4 ,-6.67 ,07/27/2017 08:27
Independent Bank Corporation,IBCP,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.27 ,0.29 ,3 ,-6.9 ,07/27/2017 08:27
La Jolla Pharmaceutical Company,LJPC,NASDAQ -CM,Failed,07-27-2017,Jun 2017,-1.21 ,-1.13 ,4 ,-7.08 ,07/27/2017 08:27
Erie Indemnity Company,ERIE,NASDAQ -GS,Failed,07-27-2017,Jun 2017,1.12 ,1.21 ,1 ,-7.44 ,07/27/2017 08:27
Marcus Corporation (The),MCS,NYSE,Failed,07-27-2017,Jun 2017,0.36 ,0.39 ,2 ,-7.69 ,07/27/2017 08:27
"American Electric Power Company, Inc.",AEP,NYSE,Failed,07-27-2017,Jun 2017,0.75 ,0.82 ,7 ,-8.54 ,07/27/2017 08:27
Hess Midstream Partners LP,HESM,NYSE,Failed,07-27-2017,Jun 2017,0.21 ,0.23 ,4 ,-8.7 ,07/27/2017 08:27
Clipper Realty Inc.,CLPR,NYSE,Failed,07-27-2017,Jun 2017,0.09 ,0.1 ,2 ,-10 ,07/27/2017 08:27
"Vocera Communications, Inc.",VCRA,NYSE,Failed,07-27-2017,Jun 2017,-0.21 ,-0.19 ,6 ,-10.53 ,07/27/2017 08:27
World Fuel Services Corporation,INT,NYSE,Failed,07-27-2017,Jun 2017,0.5 ,0.56 ,2 ,-10.71 ,07/27/2017 08:27
"Spectrum Brands Holdings, Inc.",SPB,NYSE,Failed,07-27-2017,Jun 2017,1.71 ,1.92 ,7 ,-10.94 ,07/27/2017 08:27
McKesson Corporation,MCK,NYSE,Failed,07-27-2017,Jun 2017,2.46 ,2.81 ,8 ,-12.46 ,07/27/2017 08:27
"ABAXIS, Inc.",ABAX,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.28 ,0.32 ,3 ,-12.5 ,07/27/2017 08:27
Boyd Gaming Corporation,BYD,NYSE,Failed,07-27-2017,Jun 2017,0.26 ,0.3 ,7 ,-13.33 ,07/27/2017 08:27
"Midland States Bancorp, Inc.",MSBI,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.51 ,0.59 ,1 ,-13.56 ,07/27/2017 08:27
"Bemis Company, Inc.",BMS,NYSE,Failed,07-27-2017,Jun 2017,0.48 ,0.56 ,7 ,-14.29 ,07/27/2017 08:27
"Echo Global Logistics, Inc.",ECHO,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.12 ,0.14 ,3 ,-14.29 ,07/27/2017 08:27
Integer Holdings Corporation,ITGR,NYSE,Failed,07-27-2017,Jun 2017,0.62 ,0.73 ,3 ,-15.07 ,07/27/2017 08:27
"Basic Energy Services, Inc.",BAS,NYSE,Failed,07-27-2017,Jun 2017,-0.57 ,-0.49 ,2 ,-16.33 ,07/27/2017 08:27
Anheuser-Busch Inbev SA,BUD,NYSE,Failed,07-27-2017,Jun 2017,0.95 ,1.14 ,1 ,-16.67 ,07/27/2017 08:27
CyberOptics Corporation,CYBE,NASDAQ -GM,Failed,07-27-2017,Jun 2017,0.15 ,0.18 ,2 ,-16.67 ,07/27/2017 08:27
GasLog Partners LP,GLOP,NYSE,Failed,07-27-2017,Jun 2017,0.45 ,0.56 ,5 ,-19.64 ,07/27/2017 08:27
Melco Resorts & Entertainment Limited,MLCO,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.16 ,0.2 ,1 ,-20 ,07/27/2017 08:27
"DHI Group, Inc.",DHX,NYSE,Failed,07-27-2017,Jun 2017,0.04 ,0.05 ,1 ,-20 ,07/27/2017 08:27
"A10 Networks, Inc.",ATEN,NYSE,Failed,07-27-2017,Jun 2017,-0.12 ,-0.1 ,3 ,-20 ,07/27/2017 08:27
"West Pharmaceutical Services, Inc.",WST,NYSE,Failed,07-27-2017,Jun 2017,0.51 ,0.65 ,4 ,-21.54 ,07/27/2017 08:27
"Knoll, Inc.",KNL,NYSE,Failed,07-27-2017,Jun 2017,0.29 ,0.37 ,2 ,-21.62 ,07/27/2017 08:27
"ATN International, Inc.",ATNI,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.36 ,0.46 ,1 ,-21.74 ,07/27/2017 08:27
"P.A.M. Transportation Services, Inc.",PTSI,NASDAQ -GM,Failed,07-27-2017,Jun 2017,0.25 ,0.32 ,1 ,-21.88 ,07/27/2017 08:27
Nielsen N.V.,NLSN,NYSE,Failed,07-27-2017,Jun 2017,0.49 ,0.63 ,4 ,-22.22 ,07/27/2017 08:27
Covanta Holding Corporation,CVA,NYSE,Failed,07-27-2017,Jun 2017,-0.22 ,-0.18 ,4 ,-22.22 ,07/27/2017 08:27
"eHealth, Inc.",EHTH,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.92 ,-0.75 ,4 ,-22.67 ,07/27/2017 08:27
CommerceWest Bank,CWBK,OTCBB,Failed,07-27-2017,Jun 2017,0.26 ,0.34 ,1 ,-23.53 ,07/27/2017 08:27
"Keryx Biopharmaceuticals, Inc.",KERX,NASDAQ -CM,Failed,07-27-2017,Jun 2017,-0.21 ,-0.17 ,5 ,-23.53 ,07/27/2017 08:27
"Versartis, Inc.",VSAR,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-1.04 ,-0.84 ,3 ,-23.81 ,07/27/2017 08:27
"Arch Coal, Inc.",ARCH,NYSE,Failed,07-27-2017,Jun 2017,1.85 ,2.45 ,6 ,-24.49 ,07/27/2017 08:27
"FTI Consulting, Inc.",FCN,NYSE,Failed,07-27-2017,Jun 2017,0.4 ,0.53 ,3 ,-24.53 ,07/27/2017 08:27
"MobileIron, Inc.",MOBL,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.2 ,-0.16 ,3 ,-25 ,07/27/2017 08:27
"VASCO Data Security International, Inc.",VDSI,NASDAQ -CM,Failed,07-27-2017,Jun 2017,0.06 ,0.08 ,2 ,-25 ,07/27/2017 08:27
Huron Consulting Group Inc.,HURN,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.49 ,0.67 ,3 ,-26.87 ,07/27/2017 08:27
"United Bankshares, Inc.",UBSI,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.37 ,0.51 ,3 ,-27.45 ,07/27/2017 08:27
"Safeguard Scientifics, Inc.",SFE,NYSE,Failed,07-27-2017,Jun 2017,-1.43 ,-1.11 ,1 ,-28.83 ,07/27/2017 08:27
"Penn National Gaming, Inc.",PENN,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.18 ,0.27 ,5 ,-33.33 ,07/27/2017 08:27
"Greenhill & Co., Inc.",GHL,NYSE,Failed,07-27-2017,Jun 2017,0.2 ,0.3 ,1 ,-33.33 ,07/27/2017 08:27
Constellium N.V.,CSTM,NYSE,Failed,07-27-2017,Jun 2017,0.16 ,0.24 ,7 ,-33.33 ,07/27/2017 08:27
"SunCoke Energy Partners, L.P.",SXCP,NYSE,Failed,07-27-2017,Jun 2017,0.13 ,0.2 ,2 ,-35 ,07/27/2017 08:27
CafePress Inc.,PRSS,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.19 ,-0.14 ,2 ,-35.71 ,07/27/2017 08:27
"Charter Communications, Inc.",CHTR,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.52 ,0.81 ,13 ,-35.8 ,07/27/2017 08:27
MicroStrategy Incorporated,MSTR,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.96 ,1.6 ,3 ,-40 ,07/27/2017 08:27
Teradata Corporation,TDC,NYSE,Failed,07-27-2017,Jun 2017,0.13 ,0.22 ,2 ,-40.91 ,07/27/2017 08:27
"First Business Financial Services, Inc.",FBIZ,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.22 ,0.41 ,3 ,-46.34 ,07/27/2017 08:27
Leucadia National Corporation,LUK,NYSE,Failed,07-27-2017,Jun 2017,0.16 ,0.3 ,1 ,-46.67 ,07/27/2017 08:27
"PDF Solutions, Inc.",PDFS,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.01 ,0.02 ,2 ,-50 ,07/27/2017 08:27
"Proofpoint, Inc.",PFPT,NASDAQ -GM,Failed,07-27-2017,Jun 2017,-0.39 ,-0.26 ,9 ,-50 ,07/27/2017 08:27
Flowserve Corporation,FLS,NYSE,Failed,07-27-2017,Jun 2017,0.22 ,0.44 ,10 ,-50 ,07/27/2017 08:27
"Clearfield, Inc.",CLFD,NASDAQ -GM,Failed,07-27-2017,Jun 2017,0.06 ,0.12 ,1 ,-50 ,07/27/2017 08:27
Gentherm Inc,THRM,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.23 ,0.61 ,6 ,-62.3 ,07/27/2017 08:27
"Altice USA, Inc.",ATUS,NYSE,Failed,07-27-2017,Jun 2017,-0.17 ,-0.1 ,3 ,-70 ,07/27/2017 08:27
"Amazon.com, Inc.",AMZN,NASDAQ -GS,Failed,07-27-2017,Jun 2017,0.4 ,1.4 ,12 ,-71.43 ,07/27/2017 08:27
"Mattel, Inc.",MAT,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.14 ,-0.08 ,6 ,-75 ,07/27/2017 08:27
Yamana Gold Inc.,AUY,NYSE,Failed,07-27-2017,Jun 2017,0 ,0.03 ,3 ,-100 ,07/27/2017 08:27
Buenaventura Mining Company Inc.,BVN,NYSE,Failed,07-27-2017,Jun 2017,0 ,0.22 ,2 ,-100 ,07/27/2017 08:27
United Therapeutics Corporation,UTHR,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-1.25 ,3.61 ,6 ,-134.63 ,07/27/2017 08:27
Gigamon Inc.,GIMO,NYSE,Failed,07-27-2017,Jun 2017,-0.2 ,-0.08 ,3 ,-150 ,07/27/2017 08:27
Wix.com Ltd.,WIX,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.26 ,-0.1 ,7 ,-160 ,07/27/2017 08:27
"CVR Refining, LP",CVRR,NYSE,Failed,07-27-2017,Jun 2017,-0.13 ,0.17 ,1 ,-176.47 ,07/27/2017 08:27
Acacia Research Corporation,ACTG,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.17 ,-0.06 ,1 ,-183.33 ,07/27/2017 08:27
"Byline Bancorp, Inc.",BY,NYSE,Failed,07-27-2017,Jun 2017,-0.18 ,0.21 ,1 ,-185.71 ,07/27/2017 08:27
"Acorda Therapeutics, Inc.",ACOR,NASDAQ -GS,Failed,07-27-2017,Jun 2017,-0.18 ,0.13 ,6 ,-238.46 ,07/27/2017 08:27
Attunity Ltd.,ATTU,NASDAQ -CM,Failed,07-27-2017,Jun 2017,-0.17 ,-0.03 ,1 ,-466.67 ,07/27/2017 08:27
"Dril-Quip, Inc.",DRQ,NYSE,Exceeded,07-28-2017,Jun 2017,0.09 ,0.01 ,5 ,800 ,07/28/2017 06:19
iRadimed Corporation,IRMD,NASDAQ -CM,Exceeded,07-28-2017,Jun 2017,0.03 ,-0.01 ,1 ,400 ,07/28/2017 06:19
ENI S.p.A.,E,NYSE,Exceeded,07-28-2017,Jun 2017,0.27 ,0.09 ,1 ,200 ,07/28/2017 06:19
Monotype Imaging Holdings Inc.,TYPE,NASDAQ -GS,Exceeded,07-28-2017,Jun 2017,0.04 ,0.02 ,2 ,100 ,07/28/2017 06:19
"Advanced Semiconductor Engineering, Inc.",ASX,NYSE,Exceeded,07-28-2017,Jun 2017,0.15 ,0.08 ,1 ,87.5 ,07/28/2017 06:19
"Nustar GP Holdings, LLC",NSH,NYSE,Exceeded,07-28-2017,Jun 2017,0.56 ,0.35 ,2 ,60 ,07/28/2017 06:19
Gorman-Rupp Company (The),GRC,NYSE,Exceeded,07-28-2017,Jun 2017,0.35 ,0.22 ,1 ,59.09 ,07/28/2017 06:19
Embraer-Empresa Brasileira de Aeronautica,ERJ,NYSE,Exceeded,07-28-2017,Jun 2017,0.67 ,0.49 ,5 ,36.73 ,07/28/2017 06:19
"WisdomTree Investments, Inc.",WETF,NASDAQ -GS,Exceeded,07-28-2017,Jun 2017,0.09 ,0.07 ,6 ,28.57 ,07/28/2017 06:19
"ImmunoGen, Inc.",IMGN,NASDAQ -GS,Exceeded,07-28-2017,Jun 2017,-0.1 ,-0.14 ,6 ,28.57 ,07/28/2017 06:19
NewLink Genetics Corporation,NLNK,NASDAQ -GM,Exceeded,07-28-2017,Jun 2017,-0.57 ,-0.79 ,4 ,27.85 ,07/28/2017 06:19
Moog Inc.,MOG.A,NYSE,Exceeded,07-28-2017,Jun 2017,1.11 ,0.88 ,2 ,26.14 ,07/28/2017 06:19
ArcBest Corporation,ARCB,NASDAQ -GS,Exceeded,07-28-2017,Jun 2017,0.57 ,0.48 ,7 ,18.75 ,07/28/2017 06:19
First BanCorp.,FBP,NYSE,Exceeded,07-28-2017,Jun 2017,0.13 ,0.11 ,2 ,18.18 ,07/28/2017 06:19
"Barnes Group, Inc.",B,NYSE,Exceeded,07-28-2017,Jun 2017,0.81 ,0.69 ,5 ,17.39 ,07/28/2017 06:19
"Aaron's,  Inc.",AAN,NYSE,Exceeded,07-28-2017,Jun 2017,0.68 ,0.58 ,6 ,17.24 ,07/28/2017 06:19
"Merck & Company, Inc.",MRK,NYSE,Exceeded,07-28-2017,Jun 2017,1.01 ,0.87 ,8 ,16.09 ,07/28/2017 06:19
Entercom Communications Corporation,ETM,NYSE,Exceeded,07-28-2017,Jun 2017,0.22 ,0.19 ,1 ,15.79 ,07/28/2017 06:19
"Salisbury Bancorp, Inc.",SAL,NASDAQ -CM,Exceeded,07-28-2017,Jun 2017,0.67 ,0.58 ,1 ,15.52 ,07/28/2017 06:19
"American Axle & Manufacturing Holdings, Inc.",AXL,NYSE,Exceeded,07-28-2017,Jun 2017,0.99 ,0.86 ,8 ,15.12 ,07/28/2017 06:19
Domtar Corporation,UFS,NYSE,Exceeded,07-28-2017,Jun 2017,0.61 ,0.53 ,4 ,15.09 ,07/28/2017 06:19
Santander Consumer USA Holdings Inc.,SC,NYSE,Exceeded,07-28-2017,Jun 2017,0.7 ,0.62 ,6 ,12.9 ,07/28/2017 06:19
TransCanada Corporation,TRP,NYSE,Exceeded,07-28-2017,Jun 2017,0.56 ,0.5 ,4 ,12 ,07/28/2017 06:19
Banco Santander Chile,BSAC,NYSE,Exceeded,07-28-2017,Jun 2017,0.48 ,0.43 ,3 ,11.63 ,07/28/2017 06:19
Fortis Inc.,FTS,NYSE,Exceeded,07-28-2017,Jun 2017,0.45 ,0.41 ,2 ,9.76 ,07/28/2017 06:19
"Saia, Inc.",SAIA,NASDAQ -GS,Exceeded,07-28-2017,Jun 2017,0.68 ,0.62 ,6 ,9.68 ,07/28/2017 06:19
"PNM Resources, Inc. (Holding Co.)",PNM,NYSE,Exceeded,07-28-2017,Jun 2017,0.49 ,0.45 ,4 ,8.89 ,07/28/2017 06:19
Public Service Enterprise Group Incorporated,PEG,NYSE,Exceeded,07-28-2017,Jun 2017,0.62 ,0.57 ,5 ,8.77 ,07/28/2017 06:19
"Agile Therapeutics, Inc.",AGRX,NASDAQ -GM,Exceeded,07-28-2017,Jun 2017,-0.26 ,-0.28 ,6 ,7.14 ,07/28/2017 06:19
Iron Mountain Incorporated,IRM,NYSE,Exceeded,07-28-2017,Jun 2017,0.55 ,0.52 ,4 ,5.77 ,07/28/2017 06:19
The First of Long Island Corporation,FLIC,NASDAQ -CM,Exceeded,07-28-2017,Jun 2017,0.37 ,0.35 ,1 ,5.71 ,07/28/2017 06:19
"Provident Financial Services, Inc",PFS,NYSE,Exceeded,07-28-2017,Jun 2017,0.38 ,0.36 ,2 ,5.56 ,07/28/2017 06:19
Tenneco Inc.,TEN,NYSE,Exceeded,07-28-2017,Jun 2017,1.9 ,1.8 ,12 ,5.56 ,07/28/2017 06:19
"Ruth's Hospitality Group, Inc.",RUTH,NASDAQ -GS,Exceeded,07-28-2017,Jun 2017,0.25 ,0.24 ,4 ,4.17 ,07/28/2017 06:19
LyondellBasell Industries NV,LYB,NYSE,Exceeded,07-28-2017,Jun 2017,2.82 ,2.71 ,8 ,4.06 ,07/28/2017 06:19
"Rockwell Collins, Inc.",COL,NYSE,Exceeded,07-28-2017,Jun 2017,1.64 ,1.58 ,10 ,3.8 ,07/28/2017 06:19
Weyerhaeuser Company,WY,NYSE,Exceeded,07-28-2017,Jun 2017,0.28 ,0.27 ,4 ,3.7 ,07/28/2017 06:19
